id,family,title,given,when,then,environment,proposed_native_suite,evidence_path,status
CR11-REPORT-10,REPORT,Spreadsheet injection,Labels begin with formula-control characters,export CSV for office tools,escape safely without changing canonical signed source data,Native reporting + export validators,modelnet_cr11_report_tests,evidence/CR11-REPORT-10/,NOT_RUN
CR11-LOCAL-01,LOCAL,Walletless acquisition,A clean hosted client with no monetary node,acquire public capability,verify and prepare without wallet funding or full chain sync,Actual local client + native peers + runtime,modelnet_cr11_local_tests,evidence/CR11-LOCAL-01/,NOT_RUN
CR11-LOCAL-02,LOCAL,Locality reuse,Resident base and LAN adapter plus remote hint,ensure approved capability,use eligible lower-TTC local path without needless full download,Actual local client + native peers + runtime,modelnet_cr11_local_tests,evidence/CR11-LOCAL-02/,NOT_RUN
CR11-LOCAL-03,LOCAL,Owner grant,A handoff has valid CEX signature but missing local grant,request preparation,ask for local approval without executing,Actual local client + native peers + runtime,modelnet_cr11_local_tests,evidence/CR11-LOCAL-03/,NOT_RUN
CR11-LOCAL-04,LOCAL,CFO not OS authority,A financial approval requests an untrusted executable,import handoff,retain independent software trust requirement,Actual local client + native peers + runtime,modelnet_cr11_local_tests,evidence/CR11-LOCAL-04/,NOT_RUN
CR11-LOCAL-05,LOCAL,Gateway outage,Public capability is already ready,disconnect hosted provider,continue local use and safe lease lifecycle,Actual local client + native peers + runtime,modelnet_cr11_local_tests,evidence/CR11-LOCAL-05/,NOT_RUN
CR11-LOCAL-06,LOCAL,Package substitution,Provider returns changed bytes under the expected package ID,import package,reject identity mismatch before load,Actual local client + native peers + runtime,modelnet_cr11_local_tests,evidence/CR11-LOCAL-06/,NOT_RUN
CR11-LOCAL-07,LOCAL,Device replay,A handoff for device A is replayed to B,accept on B,deny caller/device mismatch,Actual local client + native peers + runtime,modelnet_cr11_local_tests,evidence/CR11-LOCAL-07/,NOT_RUN
CR11-LOCAL-08,LOCAL,Physical cancellation,A device transfer remains in flight after logical cancel,release the hosted job,retain physical buffers until backend fence confirms safety,Actual local client + native peers + runtime,modelnet_cr11_local_tests,evidence/CR11-LOCAL-08/,NOT_RUN
CR11-LOCAL-09,LOCAL,Credential isolation,CEX tokens and cloud sentinels are installed,run acquisition and runtime,"no token appears in model, package, process environment or peer traffic",Actual local client + native peers + runtime,modelnet_cr11_local_tests,evidence/CR11-LOCAL-09/,NOT_RUN
CR11-LOCAL-10,LOCAL,Coarse reporting,Owner opts into readiness summary only,complete deployment,"send no raw prompts, KV, absolute paths or complete inventory",Actual local client + native peers + runtime,modelnet_cr11_local_tests,evidence/CR11-LOCAL-10/,NOT_RUN
CR11-AUTH-01,AUTH,Wrong sender key,A financial token bound to key A,use it with key B proof,deny token use,Actual OAuth profile + native gateway,modelnet_cr11_auth_tests,evidence/CR11-AUTH-01/,NOT_RUN
CR11-AUTH-02,AUTH,DPoP replay,An already accepted proof,reuse it as a new request,reject proof replay while business idempotency stays separate,Actual OAuth profile + native gateway,modelnet_cr11_auth_tests,evidence/CR11-AUTH-02/,NOT_RUN
CR11-AUTH-03,AUTH,Body substitution,A valid proof for route but altered plan body,submit financial action,reject unmatched immutable approval digest,Actual OAuth profile + native gateway,modelnet_cr11_auth_tests,evidence/CR11-AUTH-03/,NOT_RUN
CR11-AUTH-04,AUTH,Audience mismatch,A catalogue token for another audience,call reserve execution,deny,Actual OAuth profile + native gateway,modelnet_cr11_auth_tests,evidence/CR11-AUTH-04/,NOT_RUN
CR11-AUTH-05,AUTH,Public client secrecy,A desktop installer and configuration,inspect distributed credentials,contain no confidential shared OAuth secret,Actual OAuth profile + native gateway,modelnet_cr11_auth_tests,evidence/CR11-AUTH-05/,NOT_RUN
CR11-AUTH-06,AUTH,Read-only scope,A catalogue/read token,POST approval or execution,deny before state mutation,Actual OAuth profile + native gateway,modelnet_cr11_auth_tests,evidence/CR11-AUTH-06/,NOT_RUN
CR11-AUTH-07,AUTH,Provider key compromise,An operational signer is revoked,create new signed handoff,reject new authority while preserving historic records,Actual OAuth profile + native gateway,modelnet_cr11_auth_tests,evidence/CR11-AUTH-07/,NOT_RUN
CR11-AUTH-08,AUTH,Root enrollment,A package includes a new provider root,attempt automatic enrollment,require independently accepted provider policy,Actual OAuth profile + native gateway,modelnet_cr11_auth_tests,evidence/CR11-AUTH-08/,NOT_RUN
CR11-AUTH-09,AUTH,Browser request forgery,Cross-origin malicious page targets local/gateway effects,trigger browser request,enforce session/origin/profile protections,Actual OAuth profile + native gateway,modelnet_cr11_auth_tests,evidence/CR11-AUTH-09/,NOT_RUN
CR11-AUTH-10,AUTH,SSRF boundary,A remote object references private metadata endpoint,fetch or refer,deny unless explicitly approved infrastructure under safe policy,Actual OAuth profile + native gateway,modelnet_cr11_auth_tests,evidence/CR11-AUTH-10/,NOT_RUN
CR11-PRIV-01,PRIV,Reporting default,Fresh local connector enrollment,prepare and run capability,no local telemetry is sent by default,Packet capture + multi-tenant process lab,modelnet_cr11_priv_tests,evidence/CR11-PRIV-01/,NOT_RUN
CR11-PRIV-02,PRIV,Private response cache,Two customers request account state,exercise cache paths,never serve one customer data to another,Packet capture + multi-tenant process lab,modelnet_cr11_priv_tests,evidence/CR11-PRIV-02/,NOT_RUN
CR11-PRIV-03,PRIV,Event partition,An event cursor belongs to another entity/filter,resume stream,deny mismatch,Packet capture + multi-tenant process lab,modelnet_cr11_priv_tests,evidence/CR11-PRIV-03/,NOT_RUN
CR11-PRIV-04,PRIV,Secret sentinels,Known fake secrets appear in private configuration,export/log all public surfaces,find no sentinel in unauthorized outputs,Packet capture + multi-tenant process lab,modelnet_cr11_priv_tests,evidence/CR11-PRIV-04/,NOT_RUN
CR11-PRIV-05,PRIV,Prompt and KV,A real local runtime uses private input,exercise hosted reporting,no input or cached state reaches the hosted service,Packet capture + multi-tenant process lab,modelnet_cr11_priv_tests,evidence/CR11-PRIV-05/,NOT_RUN
CR11-PRIV-06,PRIV,Aggregate analytics,A tiny identifiable cohort,publish analytics,enforce explicit policy and minimum cohort controls,Packet capture + multi-tenant process lab,modelnet_cr11_priv_tests,evidence/CR11-PRIV-06/,NOT_RUN
CR11-PRIV-07,PRIV,Export credential exclusion,A customer exports provider records,inspect archive,"exclude login tokens, private keys and bearer capabilities",Packet capture + multi-tenant process lab,modelnet_cr11_priv_tests,evidence/CR11-PRIV-07/,NOT_RUN
CR11-PRIV-08,PRIV,Adviser revocation,An adviser loses rights mid-export,continue a queued job,stop unauthorized new disclosure under explicit snapshot policy,Packet capture + multi-tenant process lab,modelnet_cr11_priv_tests,evidence/CR11-PRIV-08/,NOT_RUN
CR11-PRIV-09,PRIV,Financial retention distinction,A user opts out of product analytics,process an existing transaction,honor analytics choice while retaining required authorized financial history,Packet capture + multi-tenant process lab,modelnet_cr11_priv_tests,evidence/CR11-PRIV-09/,NOT_RUN
CR11-PRIV-10,PRIV,Pairwise device identity,One device connects to two CEXs,inspect provider-visible identifiers,use distinct pairwise identifiers and no global private tracking ID,Packet capture + multi-tenant process lab,modelnet_cr11_priv_tests,evidence/CR11-PRIV-10/,NOT_RUN
CR11-UX-01,UX,Six primary screens,A new customer account,complete the main navigation,"find Overview, Reserves, Capabilities, Build, Approvals and Activity without terminal use",Built portal + browser accessibility lab,modelnet_cr11_ux_tests,evidence/CR11-UX-01/,NOT_RUN
CR11-UX-02,UX,Persistent payer,A user moves from group overview to funding,review final packet,show exact legal payer and portfolio,Built portal + browser accessibility lab,modelnet_cr11_ux_tests,evidence/CR11-UX-02/,NOT_RUN
CR11-UX-03,UX,One decision packet,A normal approved workflow,review and authorize,present all effects coherently without per-packet prompts,Built portal + browser accessibility lab,modelnet_cr11_ux_tests,evidence/CR11-UX-03/,NOT_RUN
CR11-UX-04,UX,Independent local permission,Finance approval succeeds before device authorization,continue browser journey,identify the remaining local permission separately,Built portal + browser accessibility lab,modelnet_cr11_ux_tests,evidence/CR11-UX-04/,NOT_RUN
CR11-UX-05,UX,Duplicate click,User clicks execute twice during delay,observe financial executor,one business operation occurs,Built portal + browser accessibility lab,modelnet_cr11_ux_tests,evidence/CR11-UX-05/,NOT_RUN
CR11-UX-06,UX,Unknown outcome copy,A broadcast response is lost,view Activity,show reconciliation and no unsafe retry-new-payment CTA,Built portal + browser accessibility lab,modelnet_cr11_ux_tests,evidence/CR11-UX-06/,NOT_RUN
CR11-UX-07,UX,Keyboard and reader,Keyboard-only and screen-reader user,complete acquisition and approval,"meet WCAG2.2AA focus, labels and status requirements",Built portal + browser accessibility lab,modelnet_cr11_ux_tests,evidence/CR11-UX-07/,NOT_RUN
CR11-UX-08,UX,Session reauthentication,Login expires during review,reauthenticate and return,retain draft but recheck current plan and permissions,Built portal + browser accessibility lab,modelnet_cr11_ux_tests,evidence/CR11-UX-08/,NOT_RUN
CR11-UX-09,UX,Localized units,Japanese and English locales,display and submit money,preserve canonical atom/currency values without truncating payer or amount,Built portal + browser accessibility lab,modelnet_cr11_ux_tests,evidence/CR11-UX-09/,NOT_RUN
CR11-UX-10,UX,Free public journey,A public capability is selected,acquire under finite local grant,"no compulsory exchange payment, new wallet or forced subscription",Built portal + browser accessibility lab,modelnet_cr11_ux_tests,evidence/CR11-UX-10/,NOT_RUN
CR11-SCALE-01,SCALE,Read load,Declared hardware and catalogue snapshot,run 1000 read requests per second,"report latency, errors and resource use honestly",Measured multi-process load + persistence lab,modelnet_cr11_scale_tests,evidence/CR11-SCALE-01/,NOT_RUN
CR11-SCALE-02,SCALE,Write load,Real transactional policy/planning service,run 100 writes per second,preserve consistency and publish measured queue behavior,Measured multi-process load + persistence lab,modelnet_cr11_scale_tests,evidence/CR11-SCALE-02/,NOT_RUN
CR11-SCALE-03,SCALE,History scale,100000 mixed history records,query/report with pagination,maintain bounded memory and snapshot integrity,Measured multi-process load + persistence lab,modelnet_cr11_scale_tests,evidence/CR11-SCALE-03/,NOT_RUN
CR11-SCALE-04,SCALE,Queued jobs,10000 bounded background jobs,cancel and recover subsets,keep resource limits and fairness,Measured multi-process load + persistence lab,modelnet_cr11_scale_tests,evidence/CR11-SCALE-04/,NOT_RUN
CR11-SCALE-05,SCALE,Body bound,A body exceeding 1MiB or graph limits,submit it,reject before unbounded allocation or signature work,Measured multi-process load + persistence lab,modelnet_cr11_scale_tests,evidence/CR11-SCALE-05/,NOT_RUN
CR11-SCALE-06,SCALE,Failure isolation,Product/report service is slow,serve native finance reconciliation,prevent auxiliary starvation of critical work,Measured multi-process load + persistence lab,modelnet_cr11_scale_tests,evidence/CR11-SCALE-06/,NOT_RUN
CR11-SCALE-07,SCALE,Slow export consumer,A client stops reading a large export,hold the connection,bound buffers and detach safely,Measured multi-process load + persistence lab,modelnet_cr11_scale_tests,evidence/CR11-SCALE-07/,NOT_RUN
CR11-SCALE-08,SCALE,Leader crash,Current fenced financial owner dies,elect/recover another worker,do not duplicate external effects,Measured multi-process load + persistence lab,modelnet_cr11_scale_tests,evidence/CR11-SCALE-08/,NOT_RUN
CR11-SCALE-09,SCALE,Cursor expiry,Retention truncates a consumer position,resume cursor,return CURSOR_TOO_OLD and reconciliation route,Measured multi-process load + persistence lab,modelnet_cr11_scale_tests,evidence/CR11-SCALE-09/,NOT_RUN
CR11-SCALE-10,SCALE,Evidence truth,"Reference fixtures, simulations and native runs coexist",generate final matrix,keep evidence tiers distinct and never infer hardware PASS,Measured multi-process load + persistence lab,modelnet_cr11_scale_tests,evidence/CR11-SCALE-10/,NOT_RUN
CR11-PORT-01,PORT,Dual provider,A package served by A and B,switch new discovery to B,preserve exact resource identity,Two gateways + local client + native economics,modelnet_cr11_port_tests,evidence/CR11-PORT-01/,NOT_RUN
CR11-PORT-02,PORT,No spend failover,A has an uncertain financial intent,switch discovery to B,do not recreate the uncertain spend on B,Two gateways + local client + native economics,modelnet_cr11_port_tests,evidence/CR11-PORT-02/,NOT_RUN
CR11-PORT-03,PORT,No key export,A customer exports portable capital records,import at B,require new authentication and never transfer secret authority,Two gateways + local client + native economics,modelnet_cr11_port_tests,evidence/CR11-PORT-03/,NOT_RUN
CR11-PORT-04,PORT,Custody obligations,A user leaves with pending custodial refund,complete customer exit,keep original custodian responsibility visible and recoverable,Two gateways + local client + native economics,modelnet_cr11_port_tests,evidence/CR11-PORT-04/,NOT_RUN
CR11-PORT-05,PORT,Old client,A base HCP client connects to new server,perform old public handoff,work without extension fields,Two gateways + local client + native economics,modelnet_cr11_port_tests,evidence/CR11-PORT-05/,NOT_RUN
CR11-PORT-06,PORT,Old server,A new client connects to base-only server,request reserve committee workflow,refuse unsupported extension clearly,Two gateways + local client + native economics,modelnet_cr11_port_tests,evidence/CR11-PORT-06/,NOT_RUN
CR11-PORT-07,PORT,Extension rollback,New extension disabled after accepted operations,reconcile existing state,keep recovery/exports while blocking new effects,Two gateways + local client + native economics,modelnet_cr11_port_tests,evidence/CR11-PORT-07/,NOT_RUN
CR11-PORT-08,PORT,Revoked provider,A provider is unenrolled locally,send another handoff,deny new effects without deleting acquired public models,Two gateways + local client + native economics,modelnet_cr11_port_tests,evidence/CR11-PORT-08/,NOT_RUN
CR11-PORT-09,PORT,Exact export,Customer packages/locks are exported and imported,verify digests,retain exact immutable commitments and attribution,Two gateways + local client + native economics,modelnet_cr11_port_tests,evidence/CR11-PORT-09/,NOT_RUN
CR11-PORT-10,PORT,Actual cross-venue money,Customer elects to move custodial BTX,execute permitted withdrawal/deposit,use real rails; metadata export alone never creates a balance,Two gateways + local client + native economics,modelnet_cr11_port_tests,evidence/CR11-PORT-10/,NOT_RUN
CR11-INTEGRATE-01,INTEGRATE,Custody fee basis,A time-varying separately billed balance,calculate custody charge,use declared time-weighted base without including commitments twice,Full registered application + financial/runtime lab,modelnet_cr11_integrate_tests,evidence/CR11-INTEGRATE-01/,NOT_RUN
CR11-INTEGRATE-02,INTEGRATE,Trading fees,Actual executed orders plus unfilled proposals,report execution revenue,use fills and actual fees only,Full registered application + financial/runtime lab,modelnet_cr11_integrate_tests,evidence/CR11-INTEGRATE-02/,NOT_RUN
CR11-INTEGRATE-03,INTEGRATE,Funding principal,A large funded programme,report CEX revenue,exclude principal except a separately contracted earned fee,Full registered application + financial/runtime lab,modelnet_cr11_integrate_tests,evidence/CR11-INTEGRATE-03/,NOT_RUN
CR11-INTEGRATE-04,INTEGRATE,Family purpose separation,"Strategic reserve, company deployment and foundation programme",consolidate overview,"retain legal payer, rights and instrument distinctions",Full registered application + financial/runtime lab,modelnet_cr11_integrate_tests,evidence/CR11-INTEGRATE-04/,NOT_RUN
CR11-INTEGRATE-05,INTEGRATE,Measured savings,A deployed workload with a versioned baseline,record outcome,separate measurement from forecast and eliminate duplicate cost allocation,Full registered application + financial/runtime lab,modelnet_cr11_integrate_tests,evidence/CR11-INTEGRATE-05/,NOT_RUN
CR11-INTEGRATE-06,INTEGRATE,Second partner onboarding,A new CEX maps existing adapters,run conformance,integrate without a BTX protocol fork,Full registered application + financial/runtime lab,modelnet_cr11_integrate_tests,evidence/CR11-INTEGRATE-06/,NOT_RUN
CR11-INTEGRATE-07,INTEGRATE,Real route coverage,Every new operation is registered,invoke all 50 through the running gateway,reach actual validators/handlers rather than empty success stubs,Full registered application + financial/runtime lab,modelnet_cr11_integrate_tests,evidence/CR11-INTEGRATE-07/,NOT_RUN
CR11-INTEGRATE-08,INTEGRATE,SDK parity,Native/Python/TypeScript share canonical vectors,hash/validate all new object types,match exact body IDs and rejection rules; real signatures are separate tests,Full registered application + financial/runtime lab,modelnet_cr11_integrate_tests,evidence/CR11-INTEGRATE-08/,NOT_RUN
CR11-INTEGRATE-09,INTEGRATE,No remote inference,A completed capital plan prepares local capability,inspect network routes,expose no public prompt router or per-token payment path,Full registered application + financial/runtime lab,modelnet_cr11_integrate_tests,evidence/CR11-INTEGRATE-09/,NOT_RUN
CR11-INTEGRATE-10,INTEGRATE,Regression closure,Integrated v1.1 candidate,run original120HCP plus relevant AHP/JIT cases,retain previous safety and behavior or record exact real blockers,Full registered application + financial/runtime lab,modelnet_cr11_integrate_tests,evidence/CR11-INTEGRATE-10/,NOT_RUN
