# BTX-AHP-001 native acceptance. Executed 2026-09-17: 122/122 modelnet_ahp* PASS.
# See agent-package-acceptance-native.csv for PASS/DEFERRED/NOT_RUN per id.
# Python 63 reference tests are not native PASS (AHP-COMP-06).
test_id,group,scenario,fixture,steps,pass_condition,required_evidence,evidence_path,candidate_fingerprint,command,status,reviewer
AHP-PRIV-05,Telemetry and access boundaries,No embedded presigned capabilities,Use endpoint/request logging under operator control and native-only versus external-source test plans.,Author a source hint or note containing credential-bearing URLs.,Writer lints/rejects operational secret fields; inspector never follows prose URLs; author notes remain untrusted.,"Packet captures or equivalent counters, exported data scan and policy audit.",,,,NOT_RUN,
AHP-PRIV-06,Telemetry and access boundaries,Multiple directories,Use endpoint/request logging under operator control and native-only versus external-source test plans.,Disable one directory and use independent alternative signed providers.,Discovery does not require a canonical analytics/catalog endpoint.,"Packet captures or equivalent counters, exported data scan and policy audit.",,,,NOT_RUN,
AHP-PRIV-07,Telemetry and access boundaries,Gated-source distinction,Use endpoint/request logging under operator control and native-only versus external-source test plans.,Try an inaccessible source without authorization and a separately available legitimately mirrored public resource.,No gate bypass; availability/rights/source policy evaluated separately rather than assuming gate equals license.,"Packet captures or equivalent counters, exported data scan and policy audit.",,,,NOT_RUN,
AHP-PRIV-08,Telemetry and access boundaries,Public versus private state,Use endpoint/request logging under operator control and native-only versus external-source test plans.,Expose inspection over allowed public bridge and request local paths/trust keys/install plans.,Public view remains read-only/redacted; local-only operations and personal state are inaccessible.,"Packet captures or equivalent counters, exported data scan and policy audit.",,,,NOT_RUN,
AHP-CHAN-01,Latest pointers and signed channels,Mutable web path,Use an exact package pin plus a signed publisher channel with persisted local sequence state.,Replace bytes behind model_latest.btx with a new valid package.,Previously pinned package remains exact; new selection is a distinct observed update.,"Signed statements, channel state history and acquisition plan digests.",,,,NOT_RUN,
AHP-CHAN-02,Latest pointers and signed channels,Rollback,Use an exact package pin plus a signed publisher channel with persisted local sequence state.,"After accepting sequence 10, present sequence 9 with a valid signature.",Reject rollback under normal policy; wall-clock freshness cannot override the sequence floor.,"Signed statements, channel state history and acquisition plan digests.",,,,NOT_RUN,
AHP-CHAN-03,Latest pointers and signed channels,Equivocation,Use an exact package pin plus a signed publisher channel with persisted local sequence state.,Provide two different targets with same publisher/channel/sequence and valid signatures.,Expose conflict; do not silently choose last-arriving target.,"Signed statements, channel state history and acquisition plan digests.",,,,NOT_RUN,
AHP-CHAN-04,Latest pointers and signed channels,Untrusted channel key,Use an exact package pin plus a signed publisher channel with persisted local sequence state.,Serve update signed by new unrelated key from the same hostname.,Hostname alone does not rotate publisher trust.,"Signed statements, channel state history and acquisition plan digests.",,,,NOT_RUN,
AHP-CHAN-05,Latest pointers and signed channels,Follow is explicit,Use an exact package pin plus a signed publisher channel with persisted local sequence state.,Open a package containing channel_ref without follow permission.,Show update opportunity; do not persist watch or replace model automatically.,"Signed statements, channel state history and acquisition plan digests.",,,,NOT_RUN,
AHP-CHAN-06,Latest pointers and signed channels,Offline expiry,Use an exact package pin plus a signed publisher channel with persisted local sequence state.,Open cached channel metadata after expiry with no network.,Exact already pinned model can remain usable under policy; no claim that expired latest state is current.,"Signed statements, channel state history and acquisition plan digests.",,,,NOT_RUN,
AHP-CHAN-07,Latest pointers and signed channels,Restart high-water mark,Use an exact package pin plus a signed publisher channel with persisted local sequence state.,Restart after accepting a channel update and replay older state.,Persisted rollback protection survives restart.,"Signed statements, channel state history and acquisition plan digests.",,,,NOT_RUN,
AHP-CHAN-08,Latest pointers and signed channels,Dependency update materiality,Use an exact package pin plus a signed publisher channel with persisted local sequence state.,Keep channel label but change tokenizer/model dependency in new package.,Create new core and plan; active runtime remains on leased prior files until explicit transition.,"Signed statements, channel state history and acquisition plan digests.",,,,NOT_RUN,
AHP-API-01,Interfaces and documentation,RPC alias reuse,Run CLI/RPC/Qt wrappers against one canonical package/planner implementation.,Compare proposed method catalog to private-tree methods and register aliases where needed.,One handler per operation; no duplicate planner or package codec.,"API fixtures, user journey captures, catalog diff and effects audit.",,,,NOT_RUN,
AHP-API-02,Interfaces and documentation,Structured agent output,Run CLI/RPC/Qt wrappers against one canonical package/planner implementation.,Execute inspect/plan/status/cancel in JSON mode and human CLI mode.,Stable fields/errors in JSON; no need to parse presentation prose.,"API fixtures, user journey captures, catalog diff and effects audit.",,,,NOT_RUN,
AHP-API-03,Interfaces and documentation,Public bridge denylist,Run CLI/RPC/Qt wrappers against one canonical package/planner implementation.,Attempt install/acquire/run/funding mutation through public HTTP routes.,No mutation proxy; only intended read-only preview allowed.,"API fixtures, user journey captures, catalog diff and effects audit.",,,,NOT_RUN,
AHP-API-04,Interfaces and documentation,OS double-click,Run CLI/RPC/Qt wrappers against one canonical package/planner implementation.,Open descriptor through Linux/macOS supported file association.,"Preview first with correct package identity and actions; no automatic install, download or run.","API fixtures, user journey captures, catalog diff and effects audit.",,,,NOT_RUN,
AHP-API-05,Interfaces and documentation,Agent walkthrough,Run CLI/RPC/Qt wrappers against one canonical package/planner implementation.,Run documented fresh-agent recipe using exact shipped tool names.,Every command exists or is clearly an adapter-side plan; no imaginary bootstrap dependency.,"API fixtures, user journey captures, catalog diff and effects audit.",,,,NOT_RUN,
AHP-API-06,Interfaces and documentation,Guide drift check,Run CLI/RPC/Qt wrappers against one canonical package/planner implementation.,Modify schema capabilities/runtime enum and regenerate docs.,CI flags or regenerates stale examples and AGENTS instructions before package signing.,"API fixtures, user journey captures, catalog diff and effects audit.",,,,NOT_RUN,
AHP-API-07,Interfaces and documentation,Error specificity,Run CLI/RPC/Qt wrappers against one canonical package/planner implementation.,"Inject unsupported client, missing trust, missing providers, hash mismatch and no-compatible-model faults.",Distinct stable codes and actionable nonmisleading messages; no generic READY on error.,"API fixtures, user journey captures, catalog diff and effects audit.",,,,NOT_RUN,
AHP-API-08,Interfaces and documentation,Concurrent parser load,Run CLI/RPC/Qt wrappers against one canonical package/planner implementation.,Submit malformed and valid descriptors concurrently within caps.,Bounded CPU/memory and fair service; expensive signature verification is rate-limited after cheap checks.,"API fixtures, user journey captures, catalog diff and effects audit.",,,,NOT_RUN,
AHP-COMP-01,Compatibility and isolation,Old peer new package,"Use old .btx vectors, old 0.34.7 model peer, new helper, modelnet-off build and independent reference reader.",Resolve a Core-v2 package and retrieve its underlying ordinary model from a 0.34.7 peer.,Package extension does not require changing canonical model bytes or legacy native transfer semantics.,"Build logs, interoperability traces and immutable vector diffs.",,,,NOT_RUN,
AHP-COMP-02,Compatibility and isolation,Legacy export deliberate,"Use old .btx vectors, old 0.34.7 model peer, new helper, modelnet-off build and independent reference reader.",Request a legacy acquisition-only export from a new package.,Output is distinct and labeled loss of handoff/runtime semantics; no silent execution downgrade.,"Build logs, interoperability traces and immutable vector diffs.",,,,NOT_RUN,
AHP-COMP-03,Compatibility and isolation,Bundle compatibility,"Use old .btx vectors, old 0.34.7 model peer, new helper, modelnet-off build and independent reference reader.",Place a new thin descriptor into the existing approved bundle framing.,Streaming reader validates descriptor and payload separately; no arbitrary ZIP extraction or identity rewrite.,"Build logs, interoperability traces and immutable vector diffs.",,,,NOT_RUN,
AHP-COMP-04,Compatibility and isolation,Helper down,"Use old .btx vectors, old 0.34.7 model peer, new helper, modelnet-off build and independent reference reader.",Stop isolated helper while monetary node runs.,Money remains operational; package acquisition fails closed/retries without wallet mutation.,"Build logs, interoperability traces and immutable vector diffs.",,,,NOT_RUN,
AHP-COMP-05,Compatibility and isolation,Modelnet disabled build,"Use old .btx vectors, old 0.34.7 model peer, new helper, modelnet-off build and independent reference reader.",Compile WITH_MODELNET=OFF and run unaffected money tests.,No new required package/runtime dependency in monetary consensus build.,"Build logs, interoperability traces and immutable vector diffs.",,,,NOT_RUN,
AHP-COMP-06,Compatibility and isolation,Reference versus native evidence,"Use old .btx vectors, old 0.34.7 model peer, new helper, modelnet-off build and independent reference reader.",Compare reference output with native signature/install/WAN test inventory.,"Report scope honestly; framing PASS never becomes proof of PQ, installation or live acquisition.","Build logs, interoperability traces and immutable vector diffs.",,,,NOT_RUN,
